iter	MultiClass
0	2.619523904
1	2.406540059
2	2.335236633
3	2.291490348
4	2.261007556
5	2.185237439
6	2.17099335
7	2.139725344
8	2.024913952
9	2.001274818
10	1.990899765
11	1.96252576
12	1.924108941
13	1.889065308
14	1.884103856
15	1.869027865
16	1.818370792
17	1.797357524
18	1.785509707
19	1.781637019
20	1.709931259
21	1.702642627
22	1.690060928
23	1.682402816
24	1.6686474
25	1.661412874
26	1.660368076
27	1.658810362
28	1.643612537
29	1.641688667
30	1.606103177
31	1.603520695
32	1.583401314
33	1.581547005
34	1.571935023
35	1.564231328
36	1.563113184
37	1.560213807
38	1.552169876
39	1.542505511
40	1.536985484
41	1.522489224
42	1.520799571
43	1.515995008
44	1.513113485
45	1.50460031
46	1.503424808
47	1.493758918
48	1.486956922
49	1.476393816
50	1.468440899
51	1.465802731
52	1.462881
53	1.451295372
54	1.448454849
55	1.433092395
56	1.429914989
57	1.419603815
58	1.411396831
59	1.410955082
60	1.408357578
61	1.402744579
62	1.400542755
63	1.400128614
64	1.399636447
65	1.387635437
66	1.378636841
67	1.374406549
68	1.366549916
69	1.357276225
70	1.35593704
71	1.350055044
72	1.347714192
73	1.345345181
74	1.342607052
75	1.341160026
76	1.340752707
77	1.340205476
78	1.336168318
79	1.333465669
80	1.331508401
81	1.330366429
82	1.320768409
83	1.317300201
84	1.312845218
85	1.306939251
86	1.302245347
87	1.301087062
88	1.300025805
89	1.29792942
90	1.296843601
91	1.294940104
92	1.292133484
93	1.290740278
94	1.288956011
95	1.280351688
96	1.27934012
97	1.273433869
98	1.2704868
99	1.269683093
100	1.261451694
101	1.256420026
102	1.254119737
103	1.251198415
104	1.248547118
105	1.245515082
106	1.244518782
107	1.242116225
108	1.241112693
109	1.239767588
110	1.2392649911111	1.2267763611112	1.2241976711113	1.2220052811114	1.2182882911115	1.2172715711116	1.2163171911117	1.2116081511118	1.2056085711119	1.2037189412120	1.2016826912121	1.1994376912122	1.1988053123123	1.1969222124124	1.1940090125125	1.1921633126126	1.1906016127127	1.1890956128128	1.1871931129129	1.1849146130130	1.184606813131	1.180937106
