iter	MultiClass
0	2.316308875
1	2.128479743
2	1.998782393
3	1.901468643
4	1.820511893
5	1.75145035
6	1.70028931
7	1.651734454
8	1.595167001
9	1.558152327
10	1.521025503
11	1.488691857
12	1.46015034
13	1.434006889
14	1.412074618
15	1.38903886
16	1.369785944
17	1.351887833
18	1.332221215
19	1.318004351
20	1.301697164
21	1.289625782
22	1.275952078
23	1.262195915
24	1.249439673
25	1.239823768
26	1.227258758
27	1.219137248
28	1.208308521
29	1.198385858
30	1.188327686
31	1.179706567
32	1.17277431
33	1.167871446
34	1.163224542
35	1.156042164
36	1.150158727
37	1.143291128
38	1.136296534
39	1.131098309
40	1.126942853
41	1.123369535
42	1.119154345
43	1.115289957
44	1.112244461
45	1.107456139
46	1.10388465
47	1.09962605
48	1.093161881
49	1.086300826
50	1.079112468
51	1.073529106
52	1.068880935
53	1.066801941
54	1.063774527
55	1.061310395
56	1.058844575
57	1.055318255
58	1.052075688
59	1.04784509
60	1.045336633
61	1.042112569
62	1.039250144
63	1.03719887
64	1.032592211
65	1.031556055
66	1.02980352
67	1.023435811
68	1.020657111
69	1.017156543
70	1.014445737
71	1.012629528
72	1.010807198
73	1.008958413
74	1.005562537
75	1.003181145
76	0.9982260756
77	0.9954708748
78	0.9933753462
79	0.9922421678
80	0.991558574
81	0.9902965711
82	0.9895424791
83	0.9863056809
84	0.9838917141
85	0.9822424633
86	0.9798237122
87	0.979677861
88	0.9781837485
89	0.976443244
90	0.9744031571
91	0.9707699647
92	0.9675612392
93	0.9661488118
94	0.9660080967
95	0.9644245598
96	0.96425929
97	0.9630520955
98	0.961292313
99	0.9605603133
100	0.9591272711
101	0.958561878
102	0.9571543757
103	0.9564188581
104	0.9557795896
105	0.9556455585
106	0.9545157573
107	0.953871212
108	0.9526692943
109	0.9508268417
110	0.9493149287
111	0.9471880206
112	0.945865862
113	0.9452182209
114	0.9433624004
115	0.9415650469
116	0.9401101236
117	0.9393593384
118	0.9376877139
119	0.9363991157
120	0.9358208472
121	0.9357402175
122	0.9347362156
123	0.9341763807
124	0.9333482022
125	0.9332382334
126	0.9331642173
127	0.932452973
128	0.9323398381
129	0.9317334266
130	0.9288020505
131	0.9273877235
132	0.926090401
133	0.9243823313
134	0.9227619974
135	0.9207036879
136	0.9200784205
137	0.919956702
138	0.9197898843
139	0.9196842073
140	0.9189108373
141	0.9180762563
142	0.9164351669
143	0.9158000495
144	0.9146543475
145	0.9137895128
146	0.9135799881
147	0.9123796886
148	0.9118422275
149	0.9112154826
150	0.91074268
151	0.9095628546
152	0.9091820797
153	0.9082794629
154	0.9073998531
155	0.9070961196
156	0.907010776
157	0.9064223056
158	0.9059128467
159	0.9053397846
160	0.9046293143
161	0.9045494585
162	0.9035857715
163	0.9023576104
164	0.9021577951
165	0.9020760396
166	0.9008913595
167	0.9007999651
168	0.9007296779
169	0.9000885801
170	0.8995494304
171	0.8994428387
172	0.8985212255
173	0.8962768906
174	0.8955361666
175	0.8949465001
176	0.8948601714
177	0.8947822857
178	0.8943402293
179	0.8935274591
180	0.892362057
181	0.8911531036
182	0.8905917912
183	0.8899318376
184	0.8894951284
185	0.8886182626
186	0.8873744118
187	0.8872510047
188	0.8866194755
189	0.8859938564
190	0.8847783597
191	0.8837367165
192	0.8829466718
193	0.8824412233
194	0.8811299701
195	0.8800944479
196	0.8800317594
197	0.8786248199
198	0.8777709609
199	0.8773675308
200	0.876766185
201	0.8760762591
202	0.8760149074
203	0.8755477334
204	0.8741916624
205	0.8731797804
206	0.8730910595
207	0.8723528683
208	0.8718652907
209	0.8710967754
210	0.8707663061
211	0.8702291263
212	0.8696701358
213	0.8695712834
214	0.8691216988
215	0.868524293
216	0.867550967
217	0.8671231229
218	0.8666040954
219	0.8665541415
220	0.8660855604
221	0.8651201144
222	0.8637688277
223	0.8631603054
224	0.8617615274
225	0.8615887996
226	0.8611252139
227	0.8610513385
228	0.8603320031
229	0.8595106493
230	0.8594457797
231	0.8593105525
232	0.8592482861
233	0.8581746302
234	0.8581001919
235	0.857599176
236	0.8574878
237	0.8574037931
238	0.8568092016
239	0.8560443449
240	0.8551087305
241	0.8549361435
242	0.8544818449
243	0.8544185232
244	0.853773415
245	0.8537038314
246	0.8529723945
247	0.852469901
248	0.8523721744
249	0.8516297618
250	0.851140777
251	0.8509335037
252	0.8502993713
253	0.8498714568
254	0.8493394132
255	0.8483883201
256	0.84712885
257	0.8463713808
258	0.8440688603
259	0.8435875445
260	0.8421909475
261	0.8421293847
262	0.8409717923
263	0.8404028813
264	0.8389638587
265	0.8383563918
266	0.8377273252
267	0.8372381293
268	0.8364885402
269	0.8356859718
270	0.8356082268
271	0.8354957954
272	0.835434303
273	0.8347269284
274	0.8342738962
275	0.833875743
276	0.833405825
277	0.8328662532
278	0.8319358452
279	0.8316990217
280	0.8310084626
281	0.8301883752
282	0.8301164699
283	0.8291288612
284	0.8290608255
285	0.8289785072
286	0.8285918222
287	0.8281254925
288	0.8280395156
289	0.8271300038
290	0.8262286535
291	0.825176527
292	0.8246240797
293	0.824083945
294	0.8239218412
295	0.8237356752
296	0.8232754666
297	0.8227512327
298	0.8217356921
299	0.8214283
300	0.821371029
301	0.8210532944
302	0.8209519796
303	0.820879652
304	0.8199684517
305	0.8193660505
306	0.8188613056
307	0.8182361086
308	0.8181640625
309	0.8177767443
310	0.817221553
311	0.8171354354
312	0.8161489525
313	0.8152115088
314	0.8140530721
315	0.8133220574
316	0.8123450024
317	0.8118105666
318	0.8117052414
319	0.8112057733
320	0.8111119163
321	0.8102412419
322	0.8101479478
323	0.8100339686
324	0.8099688879
325	0.8094969296
326	0.808675998
327	0.8079090305
328	0.8064191395
329	0.8061455191
330	0.8057095838
331	0.8051057052
332	0.8047492036
333	0.8046323397
334	0.8037732039
335	0.8034054451
336	0.8026475538
337	0.8025838802
338	0.8025312528
339	0.8019684629
340	0.8014127792
341	0.7994884304
342	0.7991079369
343	0.7990213268
344	0.7979608277
345	0.7976292327
346	0.7975450851
347	0.797157204
348	0.7966222758
349	0.7958477801
350	0.7957763672
351	0.7955021135
352	0.795142868
353	0.7950511921
354	0.7946310873
355	0.7942441209
356	0.7941294382
357	0.7939390507
358	0.7934756056
359	0.7930335493
360	0.792385275
361	0.7918371195
362	0.7917714759
363	0.7916905648
364	0.791295648
365	0.7904458697
366	0.7903207037
367	0.7901711939
368	0.7900754373
369	0.7899434466
370	0.7898796323
371	0.7897977362
372	0.7894534768
373	0.7893488551
374	0.7888892798
375	0.7880674335
376	0.7879784312
377	0.7875329273
378	0.7867391537
379	0.7866566947
380	0.786555802
381	0.7857590733
382	0.7845937416
383	0.7844938339
384	0.7837284143
385	0.783642156
386	0.7828993915
387	0.7827424239
388	0.7824647931
389	0.7824193421
390	0.7820429293
391	0.7812759619
392	0.7811082296
393	0.7805546565
394	0.779713673
395	0.7790540008
396	0.7777287464
397	0.777252637
398	0.7769155541
399	0.7765983823
400	0.7760464979
401	0.7759738889
402	0.7758694783
403	0.7753092213
404	0.7742238157
405	0.7738339647
406	0.7730141587
407	0.7723620148
408	0.7715218756
409	0.7714691778
410	0.7710652552
411	0.7706051873
412	0.7705452427
413	0.7698368831
414	0.7694156526
415	0.7689293413
416	0.7674766694
417	0.7670379903
418	0.766635897
419	0.7660733182
420	0.7654954718
421	0.7654218778
422	0.7650411029
423	0.7646860084
424	0.7646335921
425	0.7645835679
426	0.764074109
427	0.7636307862
428	0.7629464889
429	0.7628671256
430	0.7625365156
431	0.7621833911
432	0.7615143614
433	0.7604836939
434	0.7601295141
435	0.7592862792
436	0.758835991
437	0.7584642921
438	0.7581867317
439	0.7575150987
440	0.7571011854
441	0.7570249178
442	0.7566758038
443	0.7566172663
444	0.7562738512
445	0.756190759
446	0.755712961
447	0.7556649771
448	0.7554116197
449	0.7553486497
450	0.7548871043
451	0.7548019717
452	0.7544116985
453	0.7543391599
454	0.7539465649
455	0.753087218
456	0.7521793245
457	0.7521141734
458	0.7514749752
459	0.7508300781
460	0.7505665892
461	0.750282978
462	0.7498684314
463	0.7494622574
464	0.7493643197
465	0.7489003118
466	0.7488326279
467	0.7483383662
468	0.747931559
469	0.7475639409
470	0.7474975938
471	0.7469507751
472	0.7468324337
473	0.7457297201
474	0.7453508449
475	0.7444919905
476	0.7440705489
477	0.7440070864
478	0.7435679851
479	0.7431616703
480	0.742922103
481	0.7428550522
482	0.7424633719
483	0.7421221379
484	0.7414201808
485	0.7407759873
486	0.7402488687
487	0.7395367097
488	0.7390858587
489	0.7380635638
490	0.7378716988
491	0.7378092917
492	0.737719023
493	0.7373946748
494	0.7373007475
495	0.7366701329
496	0.7356889269
497	0.735165889
498	0.7345664428
499	0.7341776471
500	0.7334521203
501	0.7334006186
502	0.7330620582
503	0.7326387873
504	0.7318334046
505	0.7313361176
506	0.7310310474
507	0.7304288573
508	0.7303765816
509	0.7301633983
510	0.7300705264
511	0.7299711112
512	0.7293586489
513	0.7288909121
514	0.7288388475
515	0.7281416044
516	0.7277070059
517	0.7272374398
518	0.7271920592
519	0.7269228009
520	0.7268504734
521	0.7264609741
522	0.7260315117
523	0.7256685372
524	0.7251473287
525	0.7248009586
526	0.7245404246
527	0.7244515631
528	0.7243921813
529	0.7237499578
530	0.7236981043
531	0.7233427284
532	0.7231732371
533	0.7231015428
534	0.7225220078
535	0.7221204071
536	0.7214095146
537	0.7208952011
538	0.7206598551
539	0.7198901438
540	0.7194281059
541	0.7193778706
542	0.7190272087
543	0.7181890394
544	0.717833945
545	0.7173659971
546	0.717031447
547	0.7165911496
548	0.7163861277
549	0.7160211129
550	0.7155478881
